Restaurant ID,Restaurant Name,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
6310675,Mama Lou's Italian Kitchen,Las Piñas City,121.0097868741,14.4476149305,Italian,83.6,False,False,True,Expensive,4.6,darkgreen,Excellent,619,Philippines
6314542,Blackbird,Makati City,121.0245618224,14.5560423293,European,235.6,True,False,True,Gourmet,4.7,darkgreen,Excellent,469,Philippines
6301293,Banapple,Makati City,121.023171097,14.5561964736,Filipino,60.8,True,False,True,Expensive,4.4,green,Very Good,867,Philippines
6315689,Bad Bird,Makati City,121.0277083889,14.5658989133,American,53.199999999999996,True,False,True,Expensive,4.4,green,Very Good,858,Philippines
6304833,Manam,Makati City,121.020379588,14.5523509457,Filipino,53.199999999999996,True,False,True,Expensive,4.7,darkgreen,Excellent,930,Philippines
18409457,Soban K-Town Grill,Makati City,121.0213877633,14.5522477483,Korean,98.8,True,False,True,Expensive,4.7,darkgreen,Excellent,935,Philippines
18607559,Bluesmith Coffee & Kitchen,Makati City,121.0213736817,14.5520439496,American,53.199999999999996,True,False,True,Expensive,4.0,green,Very Good,340,Philippines
6314001,Motorino Pizzeria Napoletana,Makati City,121.0217716545,14.5518745499,Pizza,76.0,True,True,False,Expensive,4.3,green,Very Good,449,Philippines
18189398,Shi Lin,Makati City,121.0216529667,14.5521890101,Taiwanese,76.0,True,True,True,Expensive,4.1,green,Very Good,201,Philippines
6318945,Nikkei,Makati City,121.0181084275,14.5557840155,Japanese,121.6,False,False,True,Gourmet,4.6,darkgreen,Excellent,394,Philippines
6304287,Izakaya Kikufuji,Makati City,121.0138923302,14.5536214376,Japanese,91.2,True,False,True,Expensive,4.6,darkgreen,Excellent,1293,Philippines
18664859,Kermit Manila,Makati City,121.0290313885,14.5675392548,Italian,114.0,True,False,True,Gourmet,4.5,darkgreen,Excellent,227,Philippines
6307689,Filling Station,Makati City,121.0297240689,14.5635469245,American,121.6,True,False,True,Gourmet,4.2,green,Very Good,802,Philippines
18319210,Ooma,Makati City,121.0357519984,14.5660212497,Japanese,114.0,True,False,True,Gourmet,4.7,darkgreen,Excellent,387,Philippines
18571449,Nikkei,Makati City,121.0377502441,14.56327856,Japanese,121.6,False,False,True,Gourmet,4.3,green,Very Good,152,Philippines
18376891,Single Origin,Makati City,121.0357127711,14.5656685181,Coffee,110.2,False,False,True,Gourmet,4.4,green,Very Good,273,Philippines
6316125,Mendokoro Ramenba,Makati City,121.0246630758,14.5602269044,Japanese,76.0,True,False,True,Expensive,4.9,darkgreen,Excellent,1832,Philippines
6314428,Wildflour Cafe + Bakery,Makati City,121.024822332,14.5602278779,American,114.0,False,True,False,Gourmet,4.5,darkgreen,Excellent,608,Philippines
18189371,Din Tai Fung,Mandaluyong City,121.0563476756,14.5831048555,Chinese,76.0,True,False,True,Expensive,4.7,darkgreen,Excellent,833,Philippines
6314111,Ippudo,Mandaluyong City,121.0560814664,14.5836184983,Japanese,91.2,True,False,True,Expensive,4.7,darkgreen,Excellent,1089,Philippines
6318506,Ooma,Mandaluyong City,121.0561009124,14.583758671,Japanese,114.0,True,False,True,Gourmet,4.9,darkgreen,Excellent,1167,Philippines
6314302,Sambo Kojin,Mandaluyong City,121.0570152104,14.5843891226,Japanese,134.976,True,False,True,Gourmet,4.6,darkgreen,Excellent,733,Philippines
18278135,Sunnies Cafe,Mandaluyong City,121.0567650944,14.5841431721,Coffee,53.199999999999996,True,False,True,Expensive,3.9,lightgreen,Good,326,Philippines
18343547,Bad Bird,Mandaluyong City,121.0562296584,14.5839316155,American,53.199999999999996,True,False,True,Expensive,4.2,green,Very Good,322,Philippines
6313941,Chelsea Kitchen,Mandaluyong City,121.0559533909,14.5836532171,European,83.6,False,False,True,Expensive,4.1,green,Very Good,598,Philippines
18594729,Nikkei,Mandaluyong City,121.0591240972,14.5845107999,Japanese,121.6,False,False,True,Gourmet,4.8,darkgreen,Excellent,312,Philippines
18653051,Vanderlust Bistro,Mandaluyong City,121.0589373484,14.5848690173,European,91.2,True,False,True,Expensive,4.2,green,Very Good,133,Philippines
6303850,Wildflour Cafe + Bakery,Mandaluyong City,121.0593309626,14.5852389152,American,114.0,False,False,True,Gourmet,4.4,green,Very Good,308,Philippines
6301760,Wai Ying Fastfood,Manila,120.9760963172,14.6019222853,Filipino,45.6,True,False,True,Moderate,4.4,green,Very Good,674,Philippines
18619314,Soban K-Town Grill,Manila,120.9846361354,14.5756460295,Korean,98.8,True,False,True,Expensive,4.6,darkgreen,Excellent,398,Philippines
6310022,Rustic Mornings by Isabelo,Marikina City,121.0958777368,14.6292523213,American,91.2,True,False,True,Expensive,4.5,darkgreen,Excellent,874,Philippines
6309831,Ramen Yushoken,Muntinlupa City,121.0269469768,14.4247476568,Japanese,60.8,True,False,True,Expensive,4.9,darkgreen,Excellent,1171,Philippines
6301290,Vikings,Pasay City,120.9791587293,14.5403891406,Seafood,152.0,True,False,True,Gourmet,4.2,green,Very Good,1046,Philippines
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,120.9816655889,14.5528565472,European,456.0,True,False,True,Gourmet,4.9,darkgreen,Excelente,1228,Philippines
18442143,Mama Lou's Italian Kitchen,Pasig City,121.0642923787,14.5809805095,Italian,83.6,False,False,True,Expensive,4.5,darkgreen,Excellent,287,Philippines
18506282,Sibyullee,Pasig City,121.0642913729,14.5807796576,Korean,136.79999999999998,True,False,True,Gourmet,4.7,darkgreen,Excellent,645,Philippines
6309635,Frankie's New York Buffalo Wings,Pasig City,121.0678097606,14.5846461049,American,64.6,True,False,True,Expensive,4.5,darkgreen,Excelente,606,Philippines
